
 poi-ooxml                          │ 5.5.1              │ maven 
 poi-ooxml-lite                     │ 5.5.1              │ maven 
 reactive-streams                   │ 1.0.4              │ maven 
 reactor-core                       │ 3.8.7              │ maven 
 reactor-core                       │ 3.8.7              │ maven 
 reactor-netty-core                 │ 1.3.7              │ maven 
 reactor-netty-http                 │ 1.3.7              │ maven 
 slf4j-api                          │ 2.0.17             │ maven 
 snakeyaml                          │ 2.6                │ maven 
 spring-aop                         │ 7.0.9              │ maven 
 spring-beans                       │ 7.0.9              │ maven 
 spring-boot                        │ 4.1.1              │ maven 
 spring-boot-autoconfigure          │ 4.1.1              │ maven 
 spring-boot-data-commons           │ 4.1.1              │ maven 
 spring-boot-data-commons           │ 4.1.1              │ maven 
 spring-boot-data-mongodb           │ 4.1.1              │ maven 
 spring-boot-data-mongodb           │ 4.1.1              │ maven 
 spring-boot-http-client            │ 4.1.1              │ maven 
 spring-boot-http-client            │ 4.1.1              │ maven 
 spring-boot-http-converter         │ 4.1.1              │ maven 
 spring-boot-http-converter         │ 4.1.1              │ maven 
 spring-boot-jackson2               │ 4.1.1              │ maven 
 spring-boot-jackson2               │ 4.1.1              │ maven 
 spring-boot-jarmode-tools          │ 4.1.1              │ maven 
 spring-boot-jarmode-tools          │ 4.1.1              │ maven 
 spring-boot-mongodb                │ 4.1.1              │ maven 
 spring-boot-mongodb                │ 4.1.1              │ maven 
 spring-boot-persistence            │ 4.1.1              │ maven 
 spring-boot-persistence            │ 4.1.1              │ maven 
 spring-boot-restclient             │ 4.1.1              │ maven 
 spring-boot-restclient             │ 4.1.1              │ maven 
 spring-boot-security               │ 4.1.1              │ maven 
 spring-boot-security               │ 4.1.1              │ maven 
 spring-boot-security-oauth2-client │ 4.1.1              │ maven 
 spring-boot-security-oauth2-client │ 4.1.1              │ maven 
 spring-boot-servlet                │ 4.1.1              │ maven 
 spring-boot-servlet                │ 4.1.1              │ maven 
 spring-boot-tomcat                 │ 4.1.1              │ maven 
 spring-boot-tomcat                 │ 4.1.1              │ maven 
 spring-boot-transaction            │ 4.1.1              │ maven 
 spring-boot-transaction            │ 4.1.1              │ maven 
 spring-boot-web-server             │ 4.1.1              │ maven 
 spring-boot-web-server             │ 4.1.1              │ maven 
 spring-boot-webmvc                 │ 4.1.1              │ maven 
 spring-boot-webmvc                 │ 4.1.1              │ maven 
 spring-context                     │ 7.0.9              │ maven 
 spring-core                        │ 7.0.9              │ maven 
 spring-data-commons                │ 4.1.1              │ maven 
 spring-data-mongodb                │ 5.1.1              │ maven 
 spring-expression                  │ 7.0.9              │ maven 
 spring-security-config             │ 7.1.1              │ maven 
 spring-security-core               │ 7.1.1              │ maven 
 spring-security-crypto             │ 7.1.1              │ maven 
 spring-security-oauth2-client      │ 7.1.1              │ maven 
 spring-security-oauth2-core        │ 7.1.1              │ maven 
 spring-security-oauth2-jose        │ 7.1.1              │ maven 
 spring-security-web                │ 7.1.1              │ maven 
 spring-tx                          │ 7.0.9              │ maven 
 spring-web                         │ 7.0.9              │ maven 
 spring-webmvc                      │ 7.0.9              │ maven 
 spring-websocket                   │ 7.0.9              │ maven 
 swagger-annotations                │ 2.2.19             │ maven 
 tomcat-embed-core                  │ 11.0.25            │ maven 
 tomcat-embed-el                    │ 11.0.25            │ maven 
 tomcat-embed-websocket             │ 11.0.25            │ maven 
 vaadin-accordion-flow              │ 25.2.7             │ maven 
 vaadin-ai-components-flow          │ 25.2.7             │ maven 
 vaadin-app-layout-flow             │ 25.2.7             │ maven 
 vaadin-aura-theme                  │ 25.2.7             │ maven 
 vaadin-avatar-flow                 │ 25.2.7             │ maven 
 vaadin-badge-flow                  │ 25.2.7             │ maven 
 vaadin-breadcrumbs-flow            │ 25.2.7             │ maven 
 vaadin-button-flow                 │ 25.2.7             │ maven 
 vaadin-card-flow                   │ 25.2.7             │ maven 
 vaadin-checkbox-flow               │ 25.2.7             │ maven 
 vaadin-combo-box-flow              │ 25.2.7             │ maven 
 vaadin-confirm-dialog-flow         │ 25.2.7             │ maven 
 vaadin-context-menu-flow           │ 25.2.7             │ maven 
 vaadin-core-components             │ 25.2.7             │ maven 
 vaadin-core-internal               │ 25.2.7             │ maven 
 vaadin-custom-field-flow           │ 25.2.7             │ maven 
 vaadin-date-picker-flow            │ 25.2.7             │ maven 
 vaadin-date-time-picker-flow       │ 25.2.7             │ maven 
 vaadin-details-flow                │ 25.2.7             │ maven 
 vaadin-dialog-flow                 │ 25.2.7             │ maven 
 vaadin-field-highlighter-flow      │ 25.2.7             │ maven 
 vaadin-flow-components-base        │ 25.2.7             │ maven 
 vaadin-form-layout-flow            │ 25.2.7             │ maven 
 vaadin-grid-flow                   │ 25.2.7             │ maven 
 vaadin-icons-flow                  │ 25.2.7             │ maven 
 vaadin-list-box-flow               │ 25.2.7             │ maven 
 vaadin-login-flow                  │ 25.2.7             │ maven 
 vaadin-lumo-theme                  │ 25.2.7             │ maven 
 vaadin-markdown-flow               │ 25.2.7             │ maven 
 vaadin-master-detail-layout-flow   │ 25.2.7             │ maven 
 vaadin-menu-bar-flow               │ 25.2.7             │ maven 
 vaadin-messages-flow               │ 25.2.7             │ maven 
 vaadin-notification-flow           │ 25.2.7             │ maven 
